PC: 8000104c, WEN: 1, WNUM: 28, WDATA: ffffffff
PC: 80001054, WEN: 1, WNUM: 05, WDATA: 01000000
PC: 80001058, WEN: 1, WNUM: 06, WDATA: 00000004
PC: 8000105c, WEN: 1, WNUM: 07, WDATA: 00100000
PC: 80001060, WEN: 1, WNUM: 28, WDATA: 00100000
PC: 80001068, WEN: 1, WNUM: 05, WDATA: 80100068
PC: 8000106c, WEN: 1, WNUM: 05, WDATA: 80100000
PC: 80001070, WEN: 1, WNUM: 06, WDATA: 00000009
PC: 80001074, WEN: 1, WNUM: 06, WDATA: 0000000a
PC: 80000984, WEN: 1, WNUM: 01, WDATA: 80000988
PC: 800010e8, WEN: 1, WNUM: 05, WDATA: 12345000
PC: 800010ec, WEN: 1, WNUM: 06, WDATA: 12345000
PC: 800010f4, WEN: 1, WNUM: 05, WDATA: 801000f4
PC: 800010f8, WEN: 1, WNUM: 05, WDATA: 80100000
PC: 800010fc, WEN: 1, WNUM: 06, WDATA: 0000000a
PC: 80001100, WEN: 1, WNUM: 06, WDATA: 0000000b
PC: 80000988, WEN: 1, WNUM: 01, WDATA: 8000098c
PC: 80001124, WEN: 1, WNUM: 05, WDATA: 80001124
PC: 80001128, WEN: 1, WNUM: 05, WDATA: 80001124
PC: 80001134, WEN: 1, WNUM: 06, WDATA: 80001134
PC: 80001138, WEN: 1, WNUM: 06, WDATA: 80001124
PC: 80001140, WEN: 1, WNUM: 05, WDATA: 80100140
PC: 80001144, WEN: 1, WNUM: 05, WDATA: 80100000
PC: 80001148, WEN: 1, WNUM: 06, WDATA: 0000000b
PC: 8000114c, WEN: 1, WNUM: 06, WDATA: 0000000c
PC: 8000098c, WEN: 1, WNUM: 01, WDATA: 80000990
PC: 80000d18, WEN: 1, WNUM: 05, WDATA: ffffffff
PC: 80000d1c, WEN: 1, WNUM: 06, WDATA: 00000001
PC: 80000d20, WEN: 1, WNUM: 07, WDATA: 00000001
PC: 80000d28, WEN: 1, WNUM: 05, WDATA: 00000005
PC: 80000d2c, WEN: 1, WNUM: 06, WDATA: 00000001
PC: 80000d30, WEN: 1, WNUM: 07, WDATA: 00000001
PC: 80000d38, WEN: 1, WNUM: 05, WDATA: 00000005
PC: 80000d3c, WEN: 1, WNUM: 06, WDATA: 00000000
PC: 80000d40, WEN: 1, WNUM: 07, WDATA: 00000000
PC: 80000d48, WEN: 1, WNUM: 05, WDATA: 0000000a
PC: 80000d4c, WEN: 1, WNUM: 06, WDATA: 00000000
PC: 80000d50, WEN: 1, WNUM: 07, WDATA: 00000000
PC: 80000d58, WEN: 1, WNUM: 05, WDATA: 800ffd58
PC: 80000d5c, WEN: 1, WNUM: 05, WDATA: 80100000
PC: 80000d60, WEN: 1, WNUM: 06, WDATA: 0000000c
PC: 80000d64, WEN: 1, WNUM: 06, WDATA: 0000000d
PC: 80000990, WEN: 1, WNUM: 01, WDATA: 80000994
PC: 80000a98, WEN: 1, WNUM: 05, WDATA: 00000000
PC: 80000a9c, WEN: 1, WNUM: 06, WDATA: 0000007b
PC: 80000aa0, WEN: 1, WNUM: 07, WDATA: 0000007b
PC: 80000aa8, WEN: 1, WNUM: 05, WDATA: ffffffff
PC: 80000aac, WEN: 1, WNUM: 06, WDATA: 00000000
PC: 80000ab4, WEN: 1, WNUM: 05, WDATA: 800ffab4
PC: 80000ab8, WEN: 1, WNUM: 05, WDATA: 80100000
PC: 80000abc, WEN: 1, WNUM: 06, WDATA: 0000000d
PC: 80000ac0, WEN: 1, WNUM: 06, WDATA: 0000000e
PC: 80000994, WEN: 1, WNUM: 01, WDATA: 80000998
PC: 80000bac, WEN: 1, WNUM: 05, WDATA: ffffffff
PC: 80000bb0, WEN: 1, WNUM: 06, WDATA: 0000070f
PC: 80000bb4, WEN: 1, WNUM: 07, WDATA: 0000070f
PC: 80000bbc, WEN: 1, WNUM: 05, WDATA: 1234b000
PC: 80000bc0, WEN: 1, WNUM: 05, WDATA: 1234abcd
PC: 80000bc4, WEN: 1, WNUM: 06, WDATA: 000001c9
PC: 80000bc8, WEN: 1, WNUM: 07, WDATA: 000001c9
PC: 80000bd0, WEN: 1, WNUM: 05, WDATA: 800ffbd0
PC: 80000bd4, WEN: 1, WNUM: 05, WDATA: 80100000
PC: 80000bd8, WEN: 1, WNUM: 06, WDATA: 0000000e
PC: 80000bdc, WEN: 1, WNUM: 06, WDATA: 0000000f
PC: 80000998, WEN: 1, WNUM: 01, WDATA: 8000099c
PC: 80000c5c, WEN: 1, WNUM: 05, WDATA: 00000000
PC: 80000c60, WEN: 1, WNUM: 06, WDATA: 000007f0
PC: 80000c64, WEN: 1, WNUM: 07, WDATA: 000007f0
PC: 80000c6c, WEN: 1, WNUM: 05, WDATA: aaaa0000
PC: 80000c70, WEN: 1, WNUM: 06, WDATA: aaaa07ff
PC: 80000c74, WEN: 1, WNUM: 07, WDATA: aaaa0000
PC: 80000c78, WEN: 1, WNUM: 07, WDATA: aaaa07ff
PC: 80000c80, WEN: 1, WNUM: 05, WDATA: 800ffc80
PC: 80000c84, WEN: 1, WNUM: 05, WDATA: 80100000
PC: 80000c88, WEN: 1, WNUM: 06, WDATA: 0000000f
PC: 80000c8c, WEN: 1, WNUM: 06, WDATA: 00000010
PC: 8000099c, WEN: 1, WNUM: 01, WDATA: 800009a0
PC: 80000d84, WEN: 1, WNUM: 05, WDATA: 00000000
PC: 80000d88, WEN: 1, WNUM: 06, WDATA: 00000001
PC: 80000d8c, WEN: 1, WNUM: 07, WDATA: 00000001
PC: 80000d94, WEN: 1, WNUM: 05, WDATA: ffffffff
PC: 80000d98, WEN: 1, WNUM: 06, WDATA: 00000000
PC: 80000da0, WEN: 1, WNUM: 05, WDATA: 800ffda0
PC: 80000da4, WEN: 1, WNUM: 05, WDATA: 80100000
PC: 80000da8, WEN: 1, WNUM: 06, WDATA: 00000010
PC: 80000dac, WEN: 1, WNUM: 06, WDATA: 00000011
PC: 800009a0, WEN: 1, WNUM: 01, WDATA: 800009a4
PC: 80000e7c, WEN: 1, WNUM: 05, WDATA: 0000b000
PC: 80000e80, WEN: 1, WNUM: 05, WDATA: 0000aaaa
PC: 80000e84, WEN: 1, WNUM: 06, WDATA: 0000afff
PC: 80000e88, WEN: 1, WNUM: 07, WDATA: 0000b000
PC: 80000e8c, WEN: 1, WNUM: 07, WDATA: 0000afff
PC: 80000e94, WEN: 1, WNUM: 05, WDATA: 00000004
PC: 80000e98, WEN: 1, WNUM: 06, WDATA: 00000230
PC: 80000e9c, WEN: 1, WNUM: 07, WDATA: 00000230
PC: 80000ea4, WEN: 1, WNUM: 05, WDATA: 800ffea4
PC: 80000ea8, WEN: 1, WNUM: 05, WDATA: 80100000
PC: 80000eac, WEN: 1, WNUM: 06, WDATA: 00000011
PC: 80000eb0, WEN: 1, WNUM: 06, WDATA: 00000012
PC: 800009a4, WEN: 1, WNUM: 01, WDATA: 800009a8
PC: 80000f2c, WEN: 1, WNUM: 05, WDATA: 00000001
PC: 80000f30, WEN: 1, WNUM: 06, WDATA: 00000010
PC: 80000f34, WEN: 1, WNUM: 07, WDATA: 00000010
PC: 80000f3c, WEN: 1, WNUM: 05, WDATA: 00000001
PC: 80000f40, WEN: 1, WNUM: 06, WDATA: 80000000
PC: 80000f44, WEN: 1, WNUM: 07, WDATA: 80000000
PC: 80000f4c, WEN: 1, WNUM: 05, WDATA: 800fff4c
PC: 80000f50, WEN: 1, WNUM: 05, WDATA: 80100000
PC: 80000f54, WEN: 1, WNUM: 06, WDATA: 00000012
PC: 80000f58, WEN: 1, WNUM: 06, WDATA: 00000013
PC: 800009a8, WEN: 1, WNUM: 01, WDATA: 800009ac
PC: 80000fd8, WEN: 1, WNUM: 05, WDATA: 80000000
PC: 80000fdc, WEN: 1, WNUM: 06, WDATA: 00000001
PC: 80000fe0, WEN: 1, WNUM: 07, WDATA: 00000001
PC: 80000fe8, WEN: 1, WNUM: 05, WDATA: ffffffff
PC: 80000fec, WEN: 1, WNUM: 06, WDATA: 0fffffff
